id,address,cheapest_ticket,created_at,date,description,latitude,longitude,location,ticket_prices,title,updated_at,category_id,created_by
"1,""123 Main St, Cityville"",75.00,""2025-03-07 19:04:05.900321"",""2025-08-08 17:00:00.000000"",""A thrilling rock concert featuring popular bands."",37.774900,-122.419400,""Downtown Arena"",""{""prices"": {""VIP"": 150.0, ""General"": 75.0}}"",""Live Rock Concert v4"",""2025-03-07 19:04:05.900321"",1,4"
"2,""456 Park Ave, Metropolis"",45.50,""2025-03-08 10:15:22.123456"",""2025-07-15 19:30:00.000000"",""Classical music performance by the Symphony Orchestra."",37.785001,-122.430101,""Grand Symphony Hall"",""{""prices"": {""Premium"": 120.0, ""Standard"": 45.5}}"",""Symphony Orchestra: Summer Classics"",""2025-03-08 10:15:22.123456"",2,3"
"3,""789 Broadway, New York"",25.00,""2025-03-09 14:22:45.654321"",""2025-06-22 20:00:00.000000"",""Stand-up comedy night featuring top comedians."",40.712776,-74.005974,""Comedy Club NYC"",""{""prices"": {""Front Row"": 50.0, ""General"": 25.0}}"",""Laugh Night: Comedy Showcase"",""2025-03-09 14:22:45.654321"",3,5"
"4,""101 Beach Rd, Miami"",95.00,""2025-03-10 09:30:15.787878"",""2025-09-01 18:00:00.000000"",""Electronic dance music festival with international DJs."",25.761681,-80.191788,""Beach Arena"",""{""prices"": {""VIP"": 195.0, ""General"": 95.0}}"",""Summer Beats Festival"",""2025-03-10 09:30:15.787878"",1,2"
"5,""222 Stadium Dr, Chicago"",60.00,""2025-03-11 16:45:33.112233"",""2025-07-04 17:30:00.000000"",""Independence Day jazz festival with fireworks."",41.878113,-87.629799,""Lakefront Stadium"",""{""prices"": {""VIP"": 120.0, ""General"": 60.0}}"",""Jazz & Fireworks Celebration"",""2025-03-11 16:45:33.112233"",1,6"
"6,""333 Gallery Blvd, San Francisco"",15.00,""2025-03-12 11:20:45.998877"",""2025-08-15 10:00:00.000000"",""Exhibition of modern art by emerging local artists."",37.774929,-122.419415,""Modern Art Gallery"",""{""prices"": {""Guided Tour"": 25.0, ""Standard"": 15.0}}"",""Emerging Artists Showcase"",""2025-03-12 11:20:45.998877"",4,1"
"7,""444 Theater Lane, Boston"",35.00,""2025-03-13 13:25:10.445566"",""2025-06-30 19:00:00.000000"",""Shakespeare's Hamlet performed by the renowned City Theater Group."",42.360082,-71.058880,""Historic Theater"",""{""prices"": {""Orchestra"": 75.0, ""Mezzanine"": 50.0, ""Balcony"": 35.0}}"",""Hamlet: A Modern Interpretation"",""2025-03-13 13:25:10.445566"",5,3"
"8,""555 Conference Way, Seattle"",200.00,""2025-03-14 08:15:30.334455"",""2025-10-10 09:00:00.000000"",""Tech industry conference featuring keynote speakers and workshops."",47.606209,-122.332069,""Tech Convention Center"",""{""prices"": {""Full Access"": 500.0, ""Basic"": 200.0}}"",""Future Tech Conference 2025"",""2025-03-14 08:15:30.334455"",6,2"
"9,""666 Club Ave, Los Angeles"",80.00,""2025-03-15 22:10:05.667788"",""2025-07-25 22:00:00.000000"",""Hip-hop concert featuring chart-topping artists."",34.052235,-118.243683,""Nightlife Center"",""{""prices"": {""VIP"": 150.0, ""General"": 80.0}}"",""Urban Beats: Summer Jam"",""2025-03-15 22:10:05.667788"",1,4"
"10,""777 Workshop St, Portland"",40.00,""2025-03-16 15:30:20.112233"",""2025-09-15 14:00:00.000000"",""Craft beer festival with tastings from local breweries."",45.520247,-122.674194,""Brewery District"",""{""prices"": {""VIP Early Access"": 80.0, ""Standard"": 40.0}}"",""Craft Beer Festival 2025"",""2025-03-16 15:30:20.112233"",7,5"
"11,""888 Food Court, Austin"",55.00,""2025-03-17 12:45:30.445566"",""2025-08-22 11:00:00.000000"",""Food festival featuring local restaurants and cooking demonstrations."",30.267153,-97.743057,""Food Park"",""{""prices"": {""VIP All Access"": 100.0, ""General"": 55.0}}"",""Taste of Austin Food Festival"",""2025-03-17 12:45:30.445566"",7,6"
"12,""999 Dance St, Nashville"",65.00,""2025-03-18 19:20:15.778899"",""2025-07-18 20:30:00.000000"",""Country music concert featuring top Nashville performers."",36.162663,-86.781601,""Music City Center"",""{""prices"": {""Premium"": 120.0, ""General"": 65.0}}"",""Nashville Nights: Country Showcase"",""2025-03-18 19:20:15.778899"",1,3"
"13,""123 Sports Blvd, Dallas"",85.00,""2025-03-19 14:30:25.112233"",""2025-10-05 15:00:00.000000"",""Mixed martial arts championship event."",32.776665,-96.796989,""Sports Arena"",""{""prices"": {""Ringside"": 200.0, ""General"": 85.0}}"",""Ultimate Fighting Championship"",""2025-03-19 14:30:25.112233"",8,4"
"14,""456 Film Row, Hollywood"",30.00,""2025-03-20 16:20:35.445566"",""2025-09-20 19:00:00.000000"",""Film festival featuring independent filmmakers and documentaries."",34.092809,-118.328661,""Cinema Complex"",""{""prices"": {""Festival Pass"": 120.0, ""Single Screening"": 30.0}}"",""Independent Film Festival 2025"",""2025-03-20 16:20:35.445566"",9,2"
"15,""789 Wellness Way, Denver"",90.00,""2025-03-21 08:45:15.778899"",""2025-08-01 09:00:00.000000"",""Yoga and wellness retreat with professional instructors."",39.739235,-104.990250,""Mountain Retreat Center"",""{""prices"": {""Full Weekend"": 250.0, ""Day Pass"": 90.0}}"",""Mountain Wellness Retreat"",""2025-03-21 08:45:15.778899"",10,5"
"16,""101 Convention Center, Las Vegas"",150.00,""2025-03-22 11:30:40.112233"",""2025-07-10 10:00:00.000000"",""Magic show extravaganza featuring world-famous illusionists."",36.169941,-115.139832,""Magic Theater"",""{""prices"": {""VIP"": 250.0, ""Standard"": 150.0}}"",""Illusions: Magic Spectacular"",""2025-03-22 11:30:40.112233"",11,6"
"17,""222 Museum Dr, Washington DC"",20.00,""2025-03-23 10:15:25.445566"",""2025-09-30 10:00:00.000000"",""Historical exhibit featuring rare artifacts and documents."",38.907192,-77.036873,""National Museum"",""{""prices"": {""Guided Tour"": 35.0, ""General"": 20.0}}"",""American History: Special Exhibition"",""2025-03-23 10:15:25.445566"",4,1"
"18,""333 Fashion Ave, New York"",120.00,""2025-03-24 15:40:20.778899"",""2025-10-15 18:00:00.000000"",""Fashion show featuring upcoming designers and new collections."",40.712776,-74.005974,""Fashion Center"",""{""prices"": {""Front Row"": 300.0, ""General"": 120.0}}"",""Fall Fashion Week 2025"",""2025-03-24 15:40:20.778899"",12,3"
"19,""444 Workshop Lane, Minneapolis"",50.00,""2025-03-25 09:20:15.112233"",""2025-08-12 13:00:00.000000"",""Creative writing workshop led by bestselling authors."",44.977753,-93.265011,""Writers' Space"",""{""prices"": {""Full Workshop"": 100.0, ""Single Session"": 50.0}}"",""Creative Writing Masterclass"",""2025-03-25 09:20:15.112233"",13,2"
"20,""555 Festival Grounds, New Orleans"",70.00,""2025-03-26 12:35:30.445566"",""2025-07-30 16:00:00.000000"",""Blues and jazz festival featuring local and international artists."",29.951065,-90.071533,""Riverfront Park"",""{""prices"": {""Weekend Pass"": 140.0, ""Day Pass"": 70.0}}"",""Blues & Jazz Festival"",""2025-03-26 12:35:30.445566"",1,4"
"21,""666 Racing Track, Indianapolis"",110.00,""2025-03-27 14:25:10.778899"",""2025-09-05 13:00:00.000000"",""Motorsport racing event featuring professional drivers."",39.768403,-86.158068,""Speedway"",""{""prices"": {""Premium Seats"": 250.0, ""General"": 110.0}}"",""Grand Prix Racing Championship"",""2025-03-27 14:25:10.778899"",8,5"
"22,""777 Science Center, Houston"",25.00,""2025-03-28 11:10:15.112233"",""2025-08-20 10:00:00.000000"",""Interactive science exhibition with hands-on experiments."",29.760427,-95.369803,""Science Museum"",""{""prices"": {""All Access"": 40.0, ""Basic"": 25.0}}"",""Wonder of Science Exhibition"",""2025-03-28 11:10:15.112233"",14,6"
"23,""888 Comedy Club, Chicago"",45.00,""2025-03-29 20:15:30.445566"",""2025-07-22 21:00:00.000000"",""Improv comedy night with audience participation."",41.878113,-87.629799,""Laugh Factory"",""{""prices"": {""Front Row"": 75.0, ""General"": 45.0}}"",""Improv Night: Interactive Comedy"",""2025-03-29 20:15:30.445566"",3,1"
"24,""999 Opera House, San Francisco"",100.00,""2025-03-30 18:30:10.778899"",""2025-10-25 19:30:00.000000"",""Opera performance of La Traviata with world-class singers."",37.774929,-122.419415,""Grand Opera House"",""{""prices"": {""Orchestra"": 200.0, ""Mezzanine"": 150.0, ""Balcony"": 100.0}}"",""La Traviata: Opera Classic"",""2025-03-30 18:30:10.778899"",2,3"
"25,""123 Gaming Center, Seattle"",40.00,""2025-03-31 15:25:45.112233"",""2025-09-12 12:00:00.000000"",""E-sports tournament featuring professional gaming teams."",47.606209,-122.332069,""Gaming Arena"",""{""prices"": {""VIP"": 80.0, ""Standard"": 40.0}}"",""E-Sports Championship 2025"",""2025-03-31 15:25:45.112233"",15,2"
